income,loan_amount,credit_utilization,transaction_frequency,mobile_money_activity,payment_history_score,late_payments,open_loans,business_age_months,debt_ratio,probability_of_default,default
1248.36,424.55,0.316,39,0.123,0.405,1,1,145,0.465,0.893,1
930.87,383.97,0.665,36,0.425,0.931,1,2,38,0.294,0.699,1
1323.84,637.95,0.224,49,0.745,0.898,1,2,103,0.873,0.863,1
1761.51,783.21,0.756,34,0.189,0.972,0,0,121,0.759,0.883,1
882.92,571.71,0.13,48,0.574,0.986,2,2,36,0.339,0.629,0
882.93,652.89,0.796,43,0.878,0.321,1,1,139,0.812,0.995,1
1789.61,345.65,0.563,39,0.14,0.902,1,5,99,0.247,0.515,1
1383.72,431.35,0.067,42,0.456,0.399,3,1,142,0.479,0.89,1
765.26,771.43,0.278,37,0.877,0.474,0,2,99,0.198,0.92,1
1271.28,531.68,0.484,38,0.626,0.946,2,2,31,0.25,0.639,1
768.29,339.49,0.628,39,0.235,0.862,2,2,67,0.47,0.857,1
767.14,408.14,0.656,38,0.203,0.325,3,0,93,0.587,0.987,1
1120.98,659.29,0.855,40,0.138,0.817,2,2,36,0.501,0.944,1
150.0,681.56,0.444,23,0.183,0.833,2,1,44,0.148,1.0,1
150.0,189.47,0.061,38,0.846,0.584,2,1,83,0.218,0.943,1
718.86,490.65,0.29,30,0.535,0.435,1,3,122,0.542,0.953,1
493.58,398.04,0.134,41,0.446,0.961,2,1,174,0.787,0.903,1
1157.12,383.62,0.804,40,0.659,0.595,4,4,105,0.274,0.934,0
545.99,732.58,0.185,47,0.514,0.684,0,4,47,0.691,0.977,1
293.85,340.62,0.372,33,0.258,0.629,1,1,58,0.898,0.991,1
1732.82,256.11,0.181,41,0.896,0.461,1,2,95,0.193,0.611,1
887.11,196.25,0.515,38,0.255,0.899,1,3,142,0.422,0.63,0
1033.76,356.36,0.226,45,0.736,0.851,2,2,168,0.367,0.619,1
287.63,216.19,0.737,36,0.884,0.487,0,3,98,0.268,0.948,1
727.81,183.8,0.492,44,0.9,0.913,2,1,1,0.436,0.766,1
1055.46,177.51,0.496,36,0.789,0.997,0,0,76,0.638,0.605,0
424.5,192.36,0.906,53,0.117,0.895,1,3,35,0.519,0.897,1
1187.85,209.79,0.339,33,0.446,0.53,2,3,135,0.725,0.913,1
699.68,499.76,0.393,44,0.822,0.808,2,5,67,0.636,0.931,1
854.15,50.0,0.583,39,0.243,0.873,0,1,106,0.472,0.565,0
699.15,224.56,0.357,52,0.827,0.554,2,0,173,0.68,0.925,1
1926.14,374.97,0.796,47,0.748,0.33,2,3,170,0.819,0.985,1
993.25,687.16,0.542,33,0.24,0.885,2,3,7,0.364,0.874,1
471.14,338.52,0.052,43,0.282,0.634,1,2,17,0.652,0.911,1
1411.27,361.67,0.34,47,0.721,0.606,1,0,33,0.796,0.906,0
389.58,378.01,0.499,41,0.885,0.43,1,1,179,0.22,0.962,1
1104.43,50.0,0.752,39,0.608,0.858,3,1,69,0.061,0.548,0
150.0,564.77,0.717,33,0.674,0.552,1,0,125,0.491,1.0,1
335.91,554.36,0.653,33,0.754,0.72,0,4,137,0.381,0.989,1
1098.43,603.62,0.801,37,0.366,0.618,3,3,71,0.202,0.935,1
1369.23,1026.46,0.243,49,0.627,0.791,2,0,81,0.404,0.857,0
1085.68,75.37,0.464,35,0.314,0.736,2,1,128,0.813,0.873,0
942.18,50.0,0.537,41,0.486,0.521,2,1,147,0.548,0.878,1
849.45,576.47,0.926,39,0.359,0.912,2,1,173,0.67,0.966,1
260.74,315.63,0.929,38,0.413,0.438,1,5,11,0.844,0.998,1
640.08,153.59,0.498,41,0.643,0.767,3,2,164,0.126,0.649,1
769.68,329.36,0.178,43,0.169,0.846,2,3,114,0.645,0.8,0
1528.56,245.41,0.849,46,0.807,0.838,1,4,176,0.148,0.618,0
1171.81,831.19,0.074,46,0.483,0.677,0,4,67,0.086,0.587,1
150.0,965.45,0.457,42,0.855,0.857,0,2,12,0.535,1.0,1
1162.04,50.0,0.498,40,0.542,0.312,1,2,27,0.245,0.814,0
807.46,50.0,0.182,40,0.623,0.337,1,0,58,0.509,0.823,1
661.54,210.16,0.384,35,0.832,0.908,1,2,17,0.387,0.602,0
1305.84,227.62,0.655,38,0.134,0.949,1,3,179,0.607,0.742,0
1515.5,206.18,0.679,36,0.23,0.449,2,2,75,0.574,0.941,1
1465.64,351.44,0.751,34,0.212,0.429,0,3,153,0.234,0.857,1
580.39,288.29,0.566,43,0.764,0.819,3,1,14,0.608,0.931,1
845.39,61.6,0.314,39,0.403,0.606,3,3,111,0.205,0.642,1
1165.63,143.3,0.061,41,0.241,0.798,1,3,3,0.374,0.443,1
1487.77,786.58,0.595,35,0.825,0.325,2,1,64,0.29,0.959,0
760.41,310.64,0.557,47,0.832,0.64,3,1,105,0.667,0.955,1
907.17,297.84,0.62,36,0.294,0.764,3,1,42,0.469,0.887,1
446.83,50.0,0.888,39,0.321,0.733,2,1,24,0.784,0.944,1
401.9,284.2,0.264,37,0.594,0.742,1,2,72,0.191,0.743,1
1406.26,640.23,0.686,31,0.869,0.724,2,5,1,0.594,0.958,0
1678.12,548.89,0.23,40,0.788,0.532,1,2,143,0.788,0.918,1
963.99,602.77,0.757,43,0.134,0.775,3,3,93,0.82,0.982,1
1501.77,99.1,0.078,38,0.461,0.481,3,6,67,0.05,0.517,0
1180.82,95.1,0.292,45,0.47,0.379,3,1,168,0.29,0.82,1
677.44,683.36,0.282,34,0.13,0.312,0,0,59,0.329,0.966,1
1180.7,606.57,0.814,50,0.167,0.736,2,3,37,0.545,0.95,1
